Elapsed time is 253.930798 seconds.
         39608741 function calls (39475136 primitive calls) in 253.931 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1134040    9.670    0.000  205.007    0.000 performance.py:104(shannon_att)
  1134040  118.047    0.000  118.047    0.000 performance.py:108(<listcomp>)
   567020   12.565    0.000  230.653    0.000 performance.py:132(throughput_noma)
       10    0.001    0.000    0.067    0.007 performance.py:16(sinr)
        1    0.000    0.000    0.000    0.000 performance.py:166(cdf_calc)
  1134040   17.605    0.000   17.605    0.000 performance.py:87(shannon)
        9    0.000    0.000    0.000    0.000 posixpath.py:115(splitext)
        9    0.000    0.000    0.000    0.000 posixpath.py:136(basename)
        9    0.000    0.000    0.000    0.000 posixpath.py:39(_get_sep)
        9    0.000    0.000    0.000    0.000 posixpath.py:50(normcase)
        9    0.000    0.000    0.000    0.000 process.py:137(name)
        9    0.000    0.000    0.000    0.000 process.py:35(current_process)
        1    0.000    0.000    0.000    0.000 py3k.py:32(asbytes)
        1    0.000    0.000    0.000    0.000 py3k.py:37(asstr)
        1    0.000    0.000    0.000    0.000 pytictoc.py:39(tic)
        1    0.000    0.000    0.000    0.000 pytictoc.py:43(toc)
       18    0.000    0.000    0.000    0.000 re.py:222(compile)
       18    0.000    0.000    0.000    0.000 re.py:278(_compile)
        1    0.000    0.000  253.927  253.927 simulator.py:36(run)
        1    0.000    0.000  253.931  253.931 simulator.py:80(run)
        1    0.000    0.000    0.000    0.000 threading.py:1022(join)
        1    0.000    0.000    0.000    0.000 threading.py:1060(_wait_for_tstate_lock)
        9    0.000    0.000    0.000    0.000 threading.py:1074(name)
        1    0.000    0.000    0.000    0.000 threading.py:1118(daemon)
        1    0.000    0.000    0.000    0.000 threading.py:1134(daemon)
       11    0.000    0.000    0.000    0.000 threading.py:1224(current_thread)
        2    0.000    0.000    0.000    0.000 threading.py:213(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:237(__enter__)
        2    0.000    0.000    0.000    0.000 threading.py:240(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:246(_release_save)
        1    0.000    0.000    0.000    0.000 threading.py:249(_acquire_restore)
        2    0.000    0.000    0.000    0.000 threading.py:252(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:261(wait)
        1    0.000    0.000    0.000    0.000 threading.py:332(notify)
        1    0.000    0.000    0.000    0.000 threading.py:355(notify_all)
        2    0.000    0.000    0.000    0.000 threading.py:496(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:504(is_set)
        1    0.000    0.000    0.000    0.000 threading.py:510(set)
        1    0.000    0.000    0.000    0.000 threading.py:531(wait)
        1    0.000    0.000    0.000    0.000 threading.py:725(_newname)
        1    0.000    0.000    0.000    0.000 threading.py:755(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:826(start)
        1    0.000    0.000    0.000    0.000 threading.py:964(_stop)
       18    0.000    0.000    0.000    0.000 tokenize.py:172(_compile)
        1    0.000    0.000    0.000    0.000 tokenize.py:226(__init__)
       18    0.000    0.000    0.000    0.000 tokenize.py:232(add_whitespace)
        1    0.000    0.000    0.000    0.000 tokenize.py:245(untokenize)
        1    0.000    0.000    0.000    0.000 tokenize.py:319(untokenize)
       20    0.000    0.000    0.000    0.000 tokenize.py:494(_tokenize)
        1    0.000    0.000    0.000    0.000 tokenize.py:712(generate_tokens)
       20    0.000    0.000    0.000    0.000 uppa.py:100(<lambda>)
   567020    2.741    0.000    7.570    0.000 uppa.py:111(power_allocation)
       20    0.000    0.000    0.000    0.000 uppa.py:126(band_allocation)
        4    0.045    0.011  252.157   63.039 uppa.py:136(uppa)
       10    0.000    0.000    0.000    0.000 uppa.py:16(__init__)
   247020    0.229    0.000    0.229    0.000 uppa.py:24(__init__)
   247005    0.287    0.000    5.037    0.000 uppa.py:30(__str__)
        1    0.000    0.000    0.000    0.000 uppa.py:37(__init__)
   133606    0.559    0.000    4.077    0.000 uppa.py:41(available_pairs)
   310330    0.136    0.000    2.986    0.000 uppa.py:42(<lambda>)
 133606/1    0.638    0.000   11.216   11.216 uppa.py:52(all_branchs)
        1    1.165    1.165  252.110  252.110 uppa.py:69(search_best_pairs)
        4    0.000    0.000  252.110   63.027 uppa.py:86(user_pair)
       10    0.000    0.000    0.000    0.000 uppa.py:96(<lambda>)
      570    0.000    0.000    0.000    0.000 utils.py:21(__init__)
       30    0.000    0.000    0.000    0.000 utils.py:76(dbm2watts)
       10    0.000    0.000    0.000    0.000 utils.py:84(get_bs_id)
       10    0.000    0.000    0.000    0.000 utils.py:88(bsid2index)
       10    0.000    0.000    0.000    0.000 utils.py:92(ids2index)
       20    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0xa3ee00}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        8    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      380    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.dump}
        2    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        9    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
